sample_scaling,F1,d
1,0.13011054878992595,3
3,0.15343669337542928,3
5,0.2611404188824635,3
10,0.5475536785030124,3
20,0.9087930981998873,3
25,0.9618590290837437,3
1,0.31895349357419245,5
3,0.6457825838702581,5
5,0.8344522611875321,5
10,0.9771868549691287,5
20,0.9946902654867257,5
25,0.9982300884955752,5
1,0.5631357137564861,7
3,0.8916962279881571,7
5,0.9737801717375543,7
10,0.9963999711420533,7
20,0.9964071856287425,7
25,0.9958083832335329,7
1,0.784387700349759,9
3,0.9709995106187834,9
5,0.9853034357371377,9
10,0.9931170556333226,9
20,0.9940130722010652,9
25,0.9917388142525677,9
